fecha,sku,producto,categoria,cantidad,precio,stock
2022-07-01 08:25:47,FAR-069,Clorhexidina 2% - frasco x 120 mL,Higiene,5,24.86,
2022-07-01 08:25:47,FAR-071,Enalapril 10 mg - caja x 30 tabletas,Cardiovascular,3,32.75,
2022-07-01 09:01:25,FAR-002,Meloxicam 15 mg - caja x 10 tabletas,Antiinflamatorios,3,22.39,
2022-07-01 09:01:25,FAR-068,Clotrimazol 1% - tubo x 20 g,Dermatología,7,5.72,
2022-07-01 14:03:51,FAR-039,Bilastina 20 mg - caja x 10 tabletas,Antialérgicos,6,50.23,
2022-07-01 14:03:51,FAR-047,Atorvastatina 20 mg - caja x 30 tabletas,Cardiovascular,4,41.36,
2022-07-01 16:45:17,FAR-013,Metamizol 500 mg - caja x 20 tabletas,Analgésicos,7,19.34,
2022-07-01 16:45:17,FAR-013,Metamizol 500 mg - caja x 20 tabletas,Analgésicos,5,19.1,
2022-07-01 16:45:17,FAR-036,Gliclazida MR 60 mg - caja x 30 tabletas,Diabetes,5,48.27,
2022-07-01 16:45:17,FAR-045,Solución antiséptica - frasco x 1 L,Higiene,7,46.45,
2022-07-01 16:45:17,FAR-058,Sales de rehidratación oral pediátrica - caja x 5 sobres,Cuidado infantil,4,15.35,
2022-07-01 16:45:17,FAR-063,Fexofenadina 120 mg - caja x 10 tabletas,Antialérgicos,4,45.32,
2022-07-01 17:33:23,FAR-020,Adapaleno 0.1% - tubo x 30 g,Dermatología,5,41.76,
2022-07-01 17:33:23,FAR-032,Mupirocina 2% - tubo x 15 g,Dermatología,5,25.36,
2022-07-01 17:33:23,FAR-035,Amlodipino 5 mg - caja x 30 tabletas,Cardiovascular,5,26.03,
2022-07-01 17:33:23,FAR-047,Atorvastatina 20 mg - caja x 30 tabletas,Cardiovascular,3,41.68,
2022-07-01 17:33:23,FAR-049,Tramadol 50 mg - caja x 10 cápsulas,Analgésicos,6,50.11,
2022-07-01 17:33:23,FAR-071,Enalapril 10 mg - caja x 30 tabletas,Cardiovascular,3,32.97,
