fecha,sku,producto,categoria,cantidad,precio
2025-04-01,ABA-001,Arroz Costeño 1kg,Abarrotes,12,4.5
2025-04-01,ABA-002,Aceite Primor 1L,Abarrotes,9,9.9
2025-04-01,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-01,ABA-004,Fideos Don Vittorio 500g,Abarrotes,10,3.2
2025-04-01,BEB-001,Agua Cielo 625ml,Bebidas,21,1.5
2025-04-01,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,24,2.5
2025-04-01,BEB-003,Cerveza Pilsen 355ml,Bebidas,9,4.0
2025-04-01,CUI-001,Jabón Bolívar barra,Cuidado,7,1.8
2025-04-01,LAC-001,Leche Gloria tarro,Lácteos,23,4.2
2025-04-01,LAC-002,Yogurt Gloria 1L,Lácteos,8,6.5
2025-04-01,LIM-001,Detergente Bolívar 520g,Limpieza,6,5.0
2025-04-01,LIM-002,Papel higiénico Suave x4,Limpieza,11,6.0
2025-04-01,SNK-001,Galleta Soda Field,Snacks,14,1.0
2025-04-01,SNK-002,Chocolate Sublime,Snacks,16,2.0
2025-04-02,ABA-001,Arroz Costeño 1kg,Abarrotes,11,4.5
2025-04-02,ABA-002,Aceite Primor 1L,Abarrotes,10,9.9
2025-04-02,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-02,ABA-004,Fideos Don Vittorio 500g,Abarrotes,20,3.2
2025-04-02,BEB-001,Agua Cielo 625ml,Bebidas,13,1.5
2025-04-02,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,28,2.5
2025-04-02,BEB-003,Cerveza Pilsen 355ml,Bebidas,6,4.0
2025-04-02,CUI-001,Jabón Bolívar barra,Cuidado,7,1.8
2025-04-02,LAC-001,Leche Gloria tarro,Lácteos,18,4.2
2025-04-02,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-02,LIM-001,Detergente Bolívar 520g,Limpieza,5,5.0
2025-04-02,LIM-002,Papel higiénico Suave x4,Limpieza,4,6.0
2025-04-02,SNK-001,Galleta Soda Field,Snacks,22,1.0
2025-04-02,SNK-002,Chocolate Sublime,Snacks,15,2.0
2025-04-03,ABA-001,Arroz Costeño 1kg,Abarrotes,12,4.5
2025-04-03,ABA-002,Aceite Primor 1L,Abarrotes,7,9.9
2025-04-03,ABA-003,Atún Florida lata,Abarrotes,9,5.5
2025-04-03,ABA-004,Fideos Don Vittorio 500g,Abarrotes,16,3.2
2025-04-03,BEB-001,Agua Cielo 625ml,Bebidas,19,1.5
2025-04-03,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,27,2.5
2025-04-03,BEB-003,Cerveza Pilsen 355ml,Bebidas,11,4.0
2025-04-03,CUI-001,Jabón Bolívar barra,Cuidado,11,1.8
2025-04-03,LAC-001,Leche Gloria tarro,Lácteos,10,4.2
2025-04-03,LAC-002,Yogurt Gloria 1L,Lácteos,8,6.5
2025-04-03,LIM-001,Detergente Bolívar 520g,Limpieza,5,5.0
2025-04-03,LIM-002,Papel higiénico Suave x4,Limpieza,18,6.0
2025-04-03,SNK-001,Galleta Soda Field,Snacks,23,1.0
2025-04-03,SNK-002,Chocolate Sublime,Snacks,11,2.0
2025-04-04,ABA-001,Arroz Costeño 1kg,Abarrotes,12,4.5
2025-04-04,ABA-002,Aceite Primor 1L,Abarrotes,7,9.9
2025-04-04,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-04,ABA-004,Fideos Don Vittorio 500g,Abarrotes,19,3.2
2025-04-04,BEB-001,Agua Cielo 625ml,Bebidas,23,1.5
2025-04-04,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,20,2.5
2025-04-04,BEB-003,Cerveza Pilsen 355ml,Bebidas,19,4.0
2025-04-04,CUI-001,Jabón Bolívar barra,Cuidado,7,1.8
2025-04-04,LAC-001,Leche Gloria tarro,Lácteos,20,4.2
2025-04-04,LAC-002,Yogurt Gloria 1L,Lácteos,3,6.5
2025-04-04,LIM-001,Detergente Bolívar 520g,Limpieza,6,5.0
2025-04-04,LIM-002,Papel higiénico Suave x4,Limpieza,10,6.0
2025-04-04,SNK-001,Galleta Soda Field,Snacks,22,1.0
2025-04-04,SNK-002,Chocolate Sublime,Snacks,20,2.0
2025-04-05,ABA-001,Arroz Costeño 1kg,Abarrotes,18,4.5
2025-04-05,ABA-002,Aceite Primor 1L,Abarrotes,11,9.9
2025-04-05,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-05,ABA-004,Fideos Don Vittorio 500g,Abarrotes,9,3.2
2025-04-05,BEB-001,Agua Cielo 625ml,Bebidas,16,1.5
2025-04-05,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,32,2.5
2025-04-05,BEB-003,Cerveza Pilsen 355ml,Bebidas,16,4.0
2025-04-05,CUI-001,Jabón Bolívar barra,Cuidado,11,1.8
2025-04-05,LAC-001,Leche Gloria tarro,Lácteos,24,4.2
2025-04-05,LAC-002,Yogurt Gloria 1L,Lácteos,5,6.5
2025-04-05,LIM-001,Detergente Bolívar 520g,Limpieza,6,5.0
2025-04-05,LIM-002,Papel higiénico Suave x4,Limpieza,11,6.0
2025-04-05,SNK-001,Galleta Soda Field,Snacks,24,1.0
2025-04-05,SNK-002,Chocolate Sublime,Snacks,20,2.0
2025-04-06,ABA-001,Arroz Costeño 1kg,Abarrotes,19,4.5
2025-04-06,ABA-002,Aceite Primor 1L,Abarrotes,12,9.9
2025-04-06,ABA-003,Atún Florida lata,Abarrotes,12,5.5
2025-04-06,ABA-004,Fideos Don Vittorio 500g,Abarrotes,19,3.2
2025-04-06,BEB-001,Agua Cielo 625ml,Bebidas,18,1.5
2025-04-06,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,28,2.5
2025-04-06,BEB-003,Cerveza Pilsen 355ml,Bebidas,15,4.0
2025-04-06,CUI-001,Jabón Bolívar barra,Cuidado,12,1.8
2025-04-06,LAC-001,Leche Gloria tarro,Lácteos,17,4.2
2025-04-06,LAC-002,Yogurt Gloria 1L,Lácteos,7,6.5
2025-04-06,LIM-001,Detergente Bolívar 520g,Limpieza,11,5.0
2025-04-06,LIM-002,Papel higiénico Suave x4,Limpieza,12,6.0
2025-04-06,SNK-001,Galleta Soda Field,Snacks,16,1.0
2025-04-06,SNK-002,Chocolate Sublime,Snacks,14,2.0
2025-04-07,ABA-001,Arroz Costeño 1kg,Abarrotes,10,4.5
2025-04-07,ABA-002,Aceite Primor 1L,Abarrotes,4,9.9
2025-04-07,ABA-003,Atún Florida lata,Abarrotes,9,5.5
2025-04-07,ABA-004,Fideos Don Vittorio 500g,Abarrotes,9,3.2
2025-04-07,BEB-001,Agua Cielo 625ml,Bebidas,17,1.5
2025-04-07,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,24,2.5
2025-04-07,BEB-003,Cerveza Pilsen 355ml,Bebidas,9,4.0
2025-04-07,CUI-001,Jabón Bolívar barra,Cuidado,12,1.8
2025-04-07,LAC-001,Leche Gloria tarro,Lácteos,13,4.2
2025-04-07,LAC-002,Yogurt Gloria 1L,Lácteos,6,6.5
2025-04-07,LIM-001,Detergente Bolívar 520g,Limpieza,8,5.0
2025-04-07,LIM-002,Papel higiénico Suave x4,Limpieza,8,6.0
2025-04-07,SNK-001,Galleta Soda Field,Snacks,21,1.0
2025-04-07,SNK-002,Chocolate Sublime,Snacks,18,2.0
2025-04-08,ABA-001,Arroz Costeño 1kg,Abarrotes,15,4.5
2025-04-08,ABA-002,Aceite Primor 1L,Abarrotes,5,9.9
2025-04-08,ABA-003,Atún Florida lata,Abarrotes,16,5.5
2025-04-08,ABA-004,Fideos Don Vittorio 500g,Abarrotes,17,3.2
2025-04-08,BEB-001,Agua Cielo 625ml,Bebidas,19,1.5
2025-04-08,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,27,2.5
2025-04-08,BEB-003,Cerveza Pilsen 355ml,Bebidas,11,4.0
2025-04-08,CUI-001,Jabón Bolívar barra,Cuidado,13,1.8
2025-04-08,LAC-001,Leche Gloria tarro,Lácteos,11,4.2
2025-04-08,LAC-002,Yogurt Gloria 1L,Lácteos,5,6.5
2025-04-08,LIM-001,Detergente Bolívar 520g,Limpieza,1,5.0
2025-04-08,LIM-002,Papel higiénico Suave x4,Limpieza,8,6.0
2025-04-08,SNK-001,Galleta Soda Field,Snacks,25,1.0
2025-04-08,SNK-002,Chocolate Sublime,Snacks,20,2.0
2025-04-09,ABA-001,Arroz Costeño 1kg,Abarrotes,8,4.5
2025-04-09,ABA-002,Aceite Primor 1L,Abarrotes,10,9.9
2025-04-09,ABA-003,Atún Florida lata,Abarrotes,11,5.5
2025-04-09,ABA-004,Fideos Don Vittorio 500g,Abarrotes,24,3.2
2025-04-09,BEB-001,Agua Cielo 625ml,Bebidas,15,1.5
2025-04-09,BEB-002,Gaseosa Inca Kola 500ml,Bebidas,26,2.5
2025-04-09,BEB-003,Cerveza Pilsen 355ml,Bebidas,7,4.0
2025-04-09,CUI-001,Jabón Bolívar barra,Cuidado,7,1.8
